"","oppteam","season","team","id","pred","matchups","team.survscores","opp.survscores","powscore1","powscore2","opp.powscore1","opp.powscore2","sos.x","rpi.x","rank.x","sos.y","rpi.y","rank.y","winperlastq.x","winperlastq.y","orank.x","orank.y"
"1","1112","2015","1107","2015_1107_1112",0.5,"1107_1112",0.428548144119537,0.389994664128782,-0.0771664513996507,-0.138047179911353,2.7115223883102,-0.0637961053194179,0.4572,0.5352,287,0.5713,0.6631,23,0.875,1,222.5,39.5
"2","1116","2015","1107","2015_1107_1116",0.5,"1107_1116",0.428548144119537,0.448679247427482,-0.0771664513996507,-0.138047179911353,2.1837307868438,0.880016327631489,0.4572,0.5352,287,0.5617,0.6123,42,0.875,0.7,222.5,121
"3","1116","2015","1112","2015_1112_1116",0.5,"1112_1116",0.389994664128782,0.448679247427482,2.7115223883102,-0.0637961053194179,2.1837307868438,0.880016327631489,0.5713,0.6631,23,0.5617,0.6123,42,1,0.7,39.5,121
"4","1124","2015","1112","2015_1112_1124",0.5,"1112_1124",0.389994664128782,0.471154450051783,2.7115223883102,-0.0637961053194179,1.06376794234117,0.367713115153114,0.5713,0.6631,23,0.6022,0.6299,3,1,0.666666666666667,39.5,36.5
"5","1124","2015","1107","2015_1107_1124",0.5,"1107_1124",0.428548144119537,0.471154450051783,-0.0771664513996507,-0.138047179911353,1.06376794234117,0.367713115153114,0.4572,0.5352,287,0.6022,0.6299,3,0.875,0.666666666666667,222.5,36.5
"6","1124","2015","1116","2015_1116_1124",0.5,"1116_1124",0.448679247427482,0.471154450051783,2.1837307868438,0.880016327631489,1.06376794234117,0.367713115153114,0.5617,0.6123,42,0.6022,0.6299,3,0.7,0.666666666666667,121,36.5
"7","1125","2015","1112","2015_1112_1125",0.5,"1112_1125",0.389994664128782,0.47087649165919,2.7115223883102,-0.0637961053194179,-0.456557682164201,2.37008279058229,0.5713,0.6631,23,0.4703,0.5324,247,1,1,39.5,145
"8","1125","2015","1124","2015_1124_1125",0.5,"1124_1125",0.471154450051783,0.47087649165919,1.06376794234117,0.367713115153114,-0.456557682164201,2.37008279058229,0.6022,0.6299,3,0.4703,0.5324,247,0.666666666666667,1,36.5,145
"9","1125","2015","1116","2015_1116_1125",0.5,"1116_1125",0.448679247427482,0.47087649165919,2.1837307868438,0.880016327631489,-0.456557682164201,2.37008279058229,0.5617,0.6123,42,0.4703,0.5324,247,0.7,1,121,145
"10","1125","2015","1107","2015_1107_1125",0.5,"1107_1125",0.428548144119537,0.47087649165919,-0.0771664513996507,-0.138047179911353,-0.456557682164201,2.37008279058229,0.4572,0.5352,287,0.4703,0.5324,247,0.875,1,222.5,145
"11","1129","2015","1112","2015_1112_1129",0.5,"1112_1129",0.389994664128782,0.448516258296998,2.7115223883102,-0.0637961053194179,-0.358778066940572,1.91604235108864,0.5713,0.6631,23,0.5154,0.5798,117,1,0.777777777777778,39.5,150
"12","1129","2015","1107","2015_1107_1129",0.5,"1107_1129",0.428548144119537,0.448516258296998,-0.0771664513996507,-0.138047179911353,-0.358778066940572,1.91604235108864,0.4572,0.5352,287,0.5154,0.5798,117,0.875,0.777777777777778,222.5,150
"13","1129","2015","1124","2015_1124_1129",0.5,"1124_1129",0.471154450051783,0.448516258296998,1.06376794234117,0.367713115153114,-0.358778066940572,1.91604235108864,0.6022,0.6299,3,0.5154,0.5798,117,0.666666666666667,0.777777777777778,36.5,150
"14","1129","2015","1125","2015_1125_1129",0.5,"1125_1129",0.47087649165919,0.448516258296998,-0.456557682164201,2.37008279058229,-0.358778066940572,1.91604235108864,0.4703,0.5324,247,0.5154,0.5798,117,1,0.777777777777778,145,150
"15","1129","2015","1116","2015_1116_1129",0.5,"1116_1129",0.448679247427482,0.448516258296998,2.1837307868438,0.880016327631489,-0.358778066940572,1.91604235108864,0.5617,0.6123,42,0.5154,0.5798,117,0.7,0.777777777777778,121,150
"16","1138","2015","1112","2015_1112_1138",0.5,"1112_1138",0.389994664128782,0.475666801223273,2.7115223883102,-0.0637961053194179,2.080884718892,-0.0439119688316877,0.5713,0.6631,23,0.5412,0.5968,78,1,0.888888888888889,39.5,116.5
"17","1138","2015","1125","2015_1125_1138",0.5,"1125_1138",0.47087649165919,0.475666801223273,-0.456557682164201,2.37008279058229,2.080884718892,-0.0439119688316877,0.4703,0.5324,247,0.5412,0.5968,78,1,0.888888888888889,145,116.5
"18","1138","2015","1124","2015_1124_1138",0.5,"1124_1138",0.471154450051783,0.475666801223273,1.06376794234117,0.367713115153114,2.080884718892,-0.0439119688316877,0.6022,0.6299,3,0.5412,0.5968,78,0.666666666666667,0.888888888888889,36.5,116.5
"19","1138","2015","1107","2015_1107_1138",0.5,"1107_1138",0.428548144119537,0.475666801223273,-0.0771664513996507,-0.138047179911353,2.080884718892,-0.0439119688316877,0.4572,0.5352,287,0.5412,0.5968,78,0.875,0.888888888888889,222.5,116.5
"20","1138","2015","1116","2015_1116_1138",0.5,"1116_1138",0.448679247427482,0.475666801223273,2.1837307868438,0.880016327631489,2.080884718892,-0.0439119688316877,0.5617,0.6123,42,0.5412,0.5968,78,0.7,0.888888888888889,121,116.5
"21","1138","2015","1129","2015_1129_1138",0.5,"1129_1138",0.448516258296998,0.475666801223273,-0.358778066940572,1.91604235108864,2.080884718892,-0.0439119688316877,0.5154,0.5798,117,0.5412,0.5968,78,0.777777777777778,0.888888888888889,150,116.5
"22","1139","2015","1129","2015_1129_1139",0.5,"1129_1139",0.448516258296998,0.483752334873705,-0.358778066940572,1.91604235108864,1.31979984443973,-0.0345659095958911,0.5154,0.5798,117,0.5672,0.5932,30,0.777777777777778,0.5,150,43
"23","1139","2015","1107","2015_1107_1139",0.5,"1107_1139",0.428548144119537,0.483752334873705,-0.0771664513996507,-0.138047179911353,1.31979984443973,-0.0345659095958911,0.4572,0.5352,287,0.5672,0.5932,30,0.875,0.5,222.5,43
"24","1139","2015","1112","2015_1112_1139",0.5,"1112_1139",0.389994664128782,0.483752334873705,2.7115223883102,-0.0637961053194179,1.31979984443973,-0.0345659095958911,0.5713,0.6631,23,0.5672,0.5932,30,1,0.5,39.5,43
