"","oppteam","season","team","score","fgm","fga","fgm3","fga3","ftm","fta","or","dr","ast","to","stl","blk","pf","scorediff","lose","X","daynum","numot","wloc","team.survscores","opp.survscores","win","powscore1","powscore2","opp.powscore1","opp.powscore2","sos.x","rpi.x","rank.x","sos.y","rpi.y","rank.y","winperlastq.x","winperlastq.y","orank.x","orank.y"
"1",1103,2011,1323,69,21,47,7,17,20,26,6,35,16,14,5,5,11,13,0,542,137,0,"N",0.427742284109955,0.482994076099612,"win",1.40898038199195,-0.788879105996641,0.616839869860363,-1.32513575832928,0.5652,0.5838,35,0.5018,0.5457,158,0.75,0.818181818181818,13,132
"2",1103,2013,1433,88,35,65,8,16,10,14,13,23,15,7,11,0,17,46,0,665,136,0,"N",0.422800311706489,0.374340106583816,"win",1.50948907728885,1.83465597611573,1.35977466678866,0.855556665830344,0.5621,0.6099,41,0.5134,0.5906,131,0.7,0.75,23,55
"3",1104,2012,1166,58,22,50,9,21,5,13,7,24,14,7,4,3,11,1,0,601,137,0,"N",0.40818366555338,0.468366638229331,"win",1.40717077353619,1.61206151447707,0.106212420679256,-0.867923405924022,0.5127,0.5221,132,0.5217,0.5545,114,0.875,0.555555555555556,20,29
"4",1106,2011,1427,70,23,54,4,16,20,30,10,30,14,13,4,0,14,9,0,515,135,0,"N",0.5109070605771,0.498662445895535,"win",0.0261608554571957,-0.0207358445732891,-0.812673001363943,1.60015332776319,0.4503,0.4922,286,0.4002,0.4312,341,0.7,0.9,227,318
"5",1107,2013,1181,73,27,46,4,11,15,21,5,23,17,11,9,3,18,12,0,668,137,0,"N",0.390146478484371,0.480218241201715,"win",1.47261680792193,1.71450007668886,-0.315272266103132,-0.204305802172509,0.6068,0.6724,1,0.4565,0.5201,279,0.625,0.75,2,148
"6",1107,2014,1291,64,22,60,12,37,8,12,6,17,13,4,3,1,16,-7,1,714,134,0,"N",0.518217343767667,0.513167461868527,"lose",0.448568769149636,-1.65731299881475,-0.575447987194645,0.829437195156658,0.4662,0.486,242,0.4497,0.488,284,0.666666666666667,0.857142857142857,249,202
"7",1107,2014,1196,67,25,49,3,12,14,18,5,25,11,10,7,5,14,12,0,720,136,0,"N",0.313457462581275,0.513167461868527,"win",0.785039298375701,-0.44050590392498,-0.575447987194645,0.829437195156658,0.5817,0.6764,11,0.4497,0.488,284,1,0.857142857142857,9,202
"8",1110,2014,1458,75,26,52,10,23,13,14,6,25,13,7,9,1,15,40,0,733,136,0,"N",0.382148983992217,0.462262805802077,"win",0.607947400723369,-1.29430342399456,-1.23658299279149,-1.11291330902384,0.5986,0.6418,2,0.4763,0.5239,222,0.777777777777778,0.625,9,157.5
"9",1112,2011,1272,75,26,53,6,15,17,24,10,23,16,15,7,1,24,-2,1,533,137,0,"N",0.468039168396826,0.442458674954578,"lose",0.743755878379627,0.699605463001135,1.137659346061,-0.269311678125604,0.5396,0.5779,85,0.5613,0.5414,41,0.7,0.7,52,21
"10",1112,2011,1400,69,24,53,3,11,18,22,10,23,13,13,5,7,17,-1,1,557,139,0,"N",0.426613751664136,0.442458674954578,"lose",2.09721193696153,0.941249925683594,1.137659346061,-0.269311678125604,0.56,0.6025,44,0.5613,0.5414,41,0.6,0.7,11,21
"11",1112,2011,1181,77,27,58,5,14,18,22,9,18,10,11,5,6,20,-16,1,565,143,0,"N",0.387091596033991,0.442458674954578,"lose",2.64386310443501,-0.358312620911768,1.137659346061,-0.269311678125604,0.5884,0.6637,8,0.5613,0.5414,41,0.8,0.7,3,21
"12",1112,2011,1163,65,23,56,5,17,14,18,11,20,10,5,5,6,15,2,0,574,145,0,"N",0.444870817054448,0.442458674954578,"win",1.40573194899192,0.203654792308547,1.137659346061,-0.269311678125604,0.5987,0.57,4,0.5613,0.5414,41,0.615384615384615,0.7,13,21
"13",1112,2013,1125,64,20,51,8,27,16,23,4,14,7,8,7,0,20,-17,1,651,136,0,"N",0.440454719078806,0.412285918062412,"lose",0.736789651722775,2.14485277600217,1.00949369185582,1.14381305101727,0.5413,0.6181,87,0.5724,0.6247,25,0.857142857142857,0.555555555555556,42,11
"14",1112,2013,1217,51,16,58,5,18,14,19,11,22,12,8,7,1,14,-23,1,683,138,0,"N",0.490446326008656,0.412285918062412,"lose",-0.0695257750893336,-0.0893113784928029,1.00949369185582,1.14381305101727,0.4878,0.5447,180,0.5724,0.6247,25,0.75,0.555555555555556,103,11
